start	end	text
0	3040	I'm sure you've all heard the expression, the moon is made of cheese.
3680	7920	Understandable because the moon does look a bit like a big round cheese,
7920	12080	but in fact the correct expression is, the moon is made of green cheese,
12080	16640	and the first written record of it comes from John Heywood in the 16th century,
16640	21360	as part of a collection of old sayings. But of course the moon isn't green, so
21360	25760	where does this idea come from? Is it possible the original saying,
25760	30640	going back centuries before Heywood, was that the moon is made of cream cheese,
30640	33840	and ancient beliefs are often based on a kernel of truth?
34800	38560	Cream cheese is a carbon-based compound made of elements that are commonly found
38560	42480	throughout the universe. This is what it looks like under a microscope.
43040	46960	So is it possible that a similar compound does exist on the moon?
48000	53040	We know that cheese is formed when proteins break down into peptides and then amino acids,
53040	57520	and finally into carboxylic acids through a process called liposilis.
58240	61840	Now you might think, surely you can't get proteins on the moon,
61840	67040	they're complex organic chemicals. Yes they are, but amino acids are not,
67840	72800	and we know that amino acids are present on the moon because they've been found in meteorites.
73360	79040	So there's no reason why the same chemical process that turns amino acids into carboxylic acids on
79040	83680	Earth couldn't happen on the moon. But is there any evidence for it?
84400	88640	When Apollo astronauts came back from the moon, NASA announced that the samples they
88640	92880	brought with them were volcanic rock, and they said maybe we could mine the moon for
92880	97680	valuable minerals. And because everyone trusts NASA, no one questioned it.
98400	104800	But I'd urge you to check for yourselves. This is what moon rock looks like under a microscope.
104800	109840	NASA claims it's volcanic, but here's rock from the Earth that we know is volcanic,
109840	113760	and it looks nothing like the supposedly volcanic rock they found on the moon.
114560	117840	So what does it look like? Well let's go back to that
117840	122640	microscopic image of cream cheese that we saw earlier. Notice any similarity?
123600	129600	But why, you might ask, would NASA want to fake all this? Well just follow the money. Here's
129600	135040	NASA's budget as a percentage of the federal budget over the last 60 years. You'd have to
135040	139600	be blind not to see that their most profitable years were when they were sending rockets to
139600	144800	the moon. As long as they can keep up the pretence that there are valuable minerals there, they can
144800	149840	ask for billions of dollars in funding. But the movement to expose NASA's fraud
149840	154480	is growing. There's currently a debate over this issue in the scientific community,
154480	159280	so you need to keep an open mind and listen to both sides of the argument.
159280	163760	There was a huge controversy earlier this year when a peer-reviewed paper was published
163760	169120	providing more evidence that the moon is made of cheese. The reason you haven't heard about this
169120	174560	is because as soon as the paper was published, the author was fired from his job stacking boxes
174560	179920	at a Walmart superstore, ostensibly because he forgot to refrigerate a carton of blueberry
179920	185840	swirl ice cream. But the real reason is that he dared to go against the scientific consensus.
