start	end	text
0	4040	Speaking during an October 2009 videoconference in Hong Kong,
4040	14460	Supreme Master Ching Hai mentioned the many hazards of genetically modified organisms
14460	17920	along with the need to avoid their use to ensure human welfare.
17920	24160	Nowadays, many people try to do this so-called genetically modified food.
24160	27900	So sometimes we eat the vegetarian food
27900	33300	and we don't even know that there are animals' substances in it, scientifically speaking.
33300	37180	Meat is being linked to disease of all kinds,
37180	41220	with cholesterol, obesity, heart disease and strokes.
41220	47820	So if we put meat or animals' substances into vegetables,
47820	51420	then we will also have similar effects, more or less.
51420	53120	Yeah, more or less.
53120	57860	Inject meat into a healthy vegetable and you make it unhealthy.
57860	59800	But here on The Pothole of 54 channel,
59800	65300	we tend not to simply believe what masters tell us, even if they are supreme.
65300	69040	We like to check the facts and see what the scientific research shows,
69040	72680	as published in respected peer-reviewed journals.
72680	77780	So let's try to find a slightly less emotional argument against genetically modified food.
77780	81680	What happens when you consume plants that have been altered,
81680	86720	artificially concocted in a laboratory by profit-driven scientists
86720	89620	working for the most evil corporation in the world?
89620	94620	LAUGHTER
112480	116440	OK, let's leave the evil scientist to one side
116440	119400	and take a look at some real science.
119400	123840	Contrary to the images, GMOs aren't made by injecting meat or poison
123840	126280	or anything else into healthy plants.
126280	130240	They're made by splicing part of the gene of one organism with another
130240	132420	to pass on favourable traits.
132420	135920	The reason they're in demand is that they endow plants with favourable traits
135920	141060	like higher yield or pest resistance, or salt or drought tolerance.
141060	145060	In theory, genetic modification shouldn't be harmful at all.
145080	150320	After all, we ingest bits of DNA all the time, and have done for thousands of years.
150320	152400	That's what our food is made of.
152400	157560	There's no reason why modifying a few nucleotides should have any effect at all,
157560	160900	let alone turn us into hideous monsters.
160900	164700	In the case of one type of genetically modified tomato, for example,
164700	169440	a gene that produces the enzyme polygalactinase is deactivated.
169440	174680	That stops the tomato softening, making it ripen closer to the time it's consumed.
174700	179200	So will the lack of polygalactinase cause health problems?
179200	182500	Well, most researchers say, why should it?
182500	186480	People who don't eat tomatoes at all seem to do just fine.
186480	189980	There isn't even a hypothesis to test or a mechanism
189980	193760	by which the lack of polygalactinase might affect us.
193760	198520	Even so, exhaustive studies have been done to look for any adverse health effects,
198520	201220	and so far none has been found.
201240	206940	In fact, the hyperbole of the anti-GMO campaign is what really scuppers their claims.
206940	212880	Because if GMOs really are the cause of cancer, brain damage, metabolic collapse, and what else?
212880	216080	Digestive disorders, organ damage, tumours, allergies...
216080	217180	Yeah, right.
217180	220920	Then that ought to show up among the billions of people and animals
220920	224320	who've been consuming it over the last 20 to 30 years,
224320	226860	compared to those who haven't.
226860	230300	The studies that have been done have all drawn a blank.
230340	232440	So let's try the opposite tack.
232440	236820	Are there any studies that do show negative health effects from GMOs?
236820	242220	Well, if there are, we ought to find them cited by the huge number of anti-GMO organisations
242220	244760	that have sprung up in the last 30 years.
244760	250020	But I have to warn you, the reason the opening of this video had a slightly mocking tone
250020	253960	is that I've had to wade through a lot of nonsense to get to it.
253960	256900	So here are a few warning signs.
256900	263440	First, be wary of anyone who feels the need to dress up in order to impart scientific information.
263440	266640	Especially when his lab coat looks like it's never been used.
266640	267740	I'm part of a group of doctors.
267740	271620	Second, be wary of someone who says he's part of a group of doctors,
271620	273780	when in fact he's a chiropractor.
273780	276760	...that are out bringing the truth about genetically modified foods.
276760	280960	Thirdly, never trust anyone who tells you he's speaking the truth.
280960	284960	Science depends on evidence that's consistent with a hypothesis.
285020	287220	Truth is a religious concept.
287220	289160	...and the harmful effects that it has on our health.
289160	291800	And fourth, check the information.
291800	296300	So in 1989, dozens of Americans actually died and thousands were affected
296300	300200	and impaired by a genetically modified version of the food supplement L-tryptophan.
300200	304340	But if we check this claim, we find that studies have concluded that the deaths
304340	307180	were not caused by genetic modification.
307180	311080	They were caused by contamination of the L-tryptophan.
311100	314940	So while the chiropractor in the white coat is free to announce his belief
314940	317820	that these illnesses were the result of GMO,
317820	321120	he ought to admit that this is just his belief
321120	325160	and not the result of published scientific research.
325160	328520	But if there is a study that shows GMOs are harmful,
328520	333900	surely it would be among these ten studies that prove GMOs are harmful to human health,
333900	337300	which has been cut and pasted all over the internet.
337300	339660	Six of them fail at the first hurdle,
339680	343320	because they aren't even studying the effects of GMOs on health,
343320	346980	they're studying the effects of herbicides and pesticides.
346980	349620	And anyway, one of these studies was so flawed,
349620	353760	it was withdrawn from the journal Food and Chemical Toxicology.
353760	355700	The argument goes like this.
355700	359600	GMOs are designed to be resistant to pesticides and herbicides,
359600	361940	therefore allowing more of these chemicals to be used
361940	364700	without endangering the health of the plants.
364700	367900	And the residues from these chemicals may be unhealthy.
367920	370420	Now all this may very well be correct,
370420	375320	but this is not proof that GMOs themselves are dangerous or unhealthy,
