start	end	text
0	6000	And with this process there is a considerable release of energy and we've demonstrated that this could be sustained on its own.
6000	10000	In other words, much more energy is coming out than we're putting in.
10000	19000	In 1989, two researchers called Pons and Fleischmann held a press conference announcing to the world that they'd created cold fusion in a test tube.
19000	25000	It was one of those too good to be true moments that was, yeah, too good to be true.
25000	29000	I often used to go to press conferences like this where a new discovery was announced
29000	34000	and while most reporters duly scribbled it down and asked excited questions,
34000	39000	the first thing the science journalists wanted to know was where has this been published?
39000	44000	Now why is that important? In this video we're going to find out.
44000	52000	And along the way you'll learn how to publish your very own scientific paper, even if you've never touched a test tube since elementary school.
52000	57000	You'll find out how to tell the difference between real scientific journals and phony ones.
57000	63000	So a quick quiz question here. Which of these two journals is real and is cited by researchers?
63000	66000	And which one will publish any old bullshit for money?
66000	72000	The International Journal of Advanced Computer Technology or the Journal of Computer and System Sciences?
72000	76000	And we'll find out why this is not a good idea.
77000	82000	Before I look at science at its best, let's first look at junk science at its worst,
82000	88000	because a lot of people are confused about the reliability of scientific journals and they're right to be sceptical.
88000	92000	With the rise of the internet, the number of scientific journals has ballooned
92000	97000	and we've seen a steep rise in the number of fraudulent papers retracted.
97000	103000	Example. In 2013, Okurafu Kobanji of the Wassey Institute of Medicine
103000	107000	submitted a paper to the Journal of Natural Pharmaceuticals.
107000	111000	The paper described the anti-cancer properties of a chemical found in lichen
111000	114000	and was duly peer reviewed and published.
114000	118000	Only problem was, Okurafu Kobanji was a made-up name,
118000	121000	the Wassey Institute of Medicine didn't exist,
121000	127000	the anti-cancer chemical didn't exist, and the paper was complete nonsense.
127000	130000	The real author, John Bohannon of Science magazine,
130000	134000	deliberately wrote a bogus paper that he says a high school chemistry student
134000	138000	should have been able to spot in order to test the robustness of peer review
138000	141000	in these new online journals.
141000	145000	He submitted different versions of the bogus paper to 304 journals
145000	150000	and like the Journal of Natural Pharmaceuticals, more than half accepted it.
150000	157000	Why? Because a lot of these online journals will publish anything as long as you pay.
157000	162000	To start one, all it takes is a keyboard, a telephone line and a bank account.
162000	165000	The most predatory of these newly formed so-called journals
165000	170000	sends out thousands of emails to researchers inviting them to submit papers
170000	174000	and then charges them a couple of hundred dollars for publication.
174000	178000	Now when I say these journals will publish anything, I mean anything!
178000	182000	And you're thinking, yeah we know, nonsense science, you've proved your point.
182000	185000	No! I mean anything!
185000	189000	One researcher was so fed up getting spam emails from predatory journals
189000	192000	that he wrote back begging them to take him off their mailing list.
192000	197000	When that didn't work, he relented and decided to submit a paper titled
197000	200000	Get me off your f***ing mailing list!
200000	211000	Complete with an abstract, an introduction, points of methodology, diagrams and charts,
211000	214000	and a summary.
214000	218000	And you probably think the punchline of this story is that the paper was accepted.
218000	224000	Well, yes it was, by the International Journal of Advanced Computer Technology.
224000	230000	With minor changes, the editor told him, and you have to wonder what the minor changes were.
230000	235000	Did Bohannon make a scientific error somewhere in the text by writing please?
235000	239000	Yes, this is the same International Journal of Advanced Computer Technology
239000	241000	I showed you at the beginning of the video.
241000	246000	It's hard to tell on the face of it that it's any worse than the Journal of Computer and System Sciences.
246000	249000	But the latter is at the other end of the scale.
249000	254000	It's a traditional journal that was in print long before the internet came along.
254000	258000	It's properly peer reviewed and highly cited by other researchers.
258000	262000	Traditional journals like this have been the mainstay of scientific publishing
262000	267000	since the Philosophical Transactions of the Royal Society was published 350 years ago,
267000	270000	and is still going strong today.
270000	276000	Unlike pay-to-play journals, these traditional journals don't charge researchers to publish their work.
276000	282000	Instead, they make their money from subscriptions, from libraries, institutes and researchers
282000	286000	who need access to the best and latest scientific information.
286000	288000	That's a crucial difference.
288000	294000	It means they're dependent for their survival on the quality and accuracy of what they publish.
294000	299000	Predatory online journals survive by publishing as many papers as they can,
299000	305000	regardless of accuracy, because they make their money from quantity, not quality.
305000	311000	Outside of this body of knowledge are discussion papers and posters presented at conferences and seminars.
311000	316000	Again, this is traditional publishing, but while these papers may look impressive,
316000	318000	they aren't always peer reviewed.
319000	324000	This one, presented at the Lunar and Planetary Science Conference, and looking very respectable,
324000	328000	comes from a physicist who was arguing that an ancient Martian civilisation
328000	331000	was wiped out by a planetary-wide nuclear explosion.
335000	338000	When I write a peer reviewed paper in a scientific journal...
338000	344000	Same goes for opinion pieces and articles written in magazines affiliated with scientific institutions.
344000	349000	When Christopher Monckton tried to pass off his opinion piece in the Forum of Physics and Society
349000	356000	as a peer reviewed paper, the editors added an annotation stating that it most certainly was not.
356000	363000	These conference papers and opinion pieces aren't peer reviewed because they're just a free flow of ideas.
363000	369000	So why aren't researchers equally free to publish whatever they like in peer reviewed journals?
369000	373000	It's a question Ben Stein posed in his movie Expels.
374000	381000	I have always assumed that scientists were free to ask any question, to pursue any line of inquiry, without fear of reprisal.
381000	384000	Well, yes, of course they are, as we've seen.
384000	390000	They can ask whatever they like, and say whatever they like, even if it's speculation or complete crap.
390000	396000	But that doesn't mean scientific journals have to publish all this speculation and claptrap.
396000	402000	In fact, they have a very clear responsibility to not publish speculation and claptrap.
402000	407000	Because, as I've said before, they are the repository of our current scientific knowledge.
407000	415000	If one bad paper gets into the system, one piece of crap, one miscalculation, or a wild speculation touted as fact,
415000	424000	it could get cited by another paper, and that paper could get cited by another, and our repository of scientific knowledge becomes tainted.
424000	432000	Since all life can be found in the Seinfeld Chronicles, it's a bit like the B.O. on the smelly valet that gets transferred into Jerry's car.
432000	433000	What, do you smell something?
433000	437000	And the smell transfers to everyone it comes into contact with.
437000	444000	But to Ben Stein, keeping this crap from tainting our body of scientific knowledge is censorship.
444000	450000	It all began when I met evolutionary biologist Richard Sternberg in Washington D.C.
450000	461000	His life was nearly ruined when he strayed from the party line while serving as editor of a scientific journal affiliated with the prestigious Smithsonian Museum of Natural History.
461000	464000	What was Dr. Sternberg's crime?
464000	471000	He dared to publish an article by Dr. Stephen Meyer, one of the leading lights of the Intelligent Design movement.
471000	480000	The paper ignited a firestorm of controversy merely because it suggested Intelligent Design might be able to explain how life began.
