start	end	text
0	4000	And for that, the Australian government wants to bring the economy to its knees.
4000	6000	Say no to the carbon tax.
6000	10000	This message is brought to you by the Galileo movement.
10000	14000	No, this isn't a video about the carbon tax.
14000	18000	Whether you're for it or against it is your business, not mine.
18000	22000	What I'm interested in is this thing called the Galileo movement.
22000	26000	Whenever a particular group wants to challenge established science,
26000	32000	they like to compare themselves to Galileo, a lone voice crying out against the scientific consensus.
32000	38000	Trouble is, Galileo wasn't challenging the scientific consensus of the 17th century.
38000	42000	He was the scientific consensus of the 17th century,
42000	45000	which is why he's called the father of modern science.
45000	49000	What he was challenging was belief and dogma,
49000	53000	and the idea that just because authorities like the Pope or Aristotle
53000	57000	believes something to be true, that doesn't make it true.
57000	62000	What counts is evidence derived by the scientific method.
62000	67000	But this begs the question, is there a consensus on whether CO2 affects global temperature?
67000	71000	Citizen scientists can't seem to agree. Some say there isn't.
71000	75000	Or that we don't know whether there's a consensus or not.
75000	78000	Nobody knows what the majority of scientists think.
78000	80000	Well, let me attempt to break the tie.
80000	84000	We don't know if there's a consensus on any scientific theory.
84000	86000	Of course, if you feel the need to put a number on it,
86000	91000	you could quite easily count the number of papers consistent with a certain theory,
91000	94000	or the impact factors of the journals in which they're published,
94000	96000	or the number of times they've been cited,
96000	100000	or count up the position statements of scientific organisations.
100000	105000	No one ever takes a vote to see how many scientists support any theory,
105000	110000	whether it's climate change, evolution, or even whether the Earth orbits the Sun.
110000	115000	So, if scientists never get to vote on them, how do we know that these theories are correct?
115000	119000	And why do they end up being taught in schools and universities?
119000	124000	To explain how this works, let's take a look at the theory of plate tectonics as an example.
124000	128000	The theory didn't develop overnight because geologists voted for it.
128000	133000	It started with evidence showing continuity of fossils and rock types between continents.
133000	136000	And, of course, early on there were a lot of flaws in the theory,
136000	140000	and other hypotheses that explained the evidence that had been found.
140000	143000	Then came the discovery of magnetic alignment in rocks,
143000	146000	and oceanographers discovered magnetic striping.
146000	150000	Each step, each discovery, and each conclusion was written down
150000	153000	and published in peer-reviewed papers,
153000	156000	where the evidence could be checked and challenged or confirmed.
156000	159000	As more and more evidence supported the hypothesis,
159000	164000	fewer flaws were found, and therefore fewer rebuttal papers could find fault with it.
164000	168000	The hypothesis became a theory not because everyone voted for it,
168000	172000	but because the amount of evidence became so overwhelming that in the end
172000	175000	no one could find any serious flaws.
175000	178000	And no other hypothesis could explain the evidence.
178000	182000	Every scientific theory goes through exactly the same process.
182000	186000	Of course, there are always a few researchers who have a pet hypothesis
187000	191000	that they stick to even if they can't produce any evidence to support it.
191000	196000	What matters is not what these contrarians assert in blogs and TV interviews.
196000	202000	What matters is the evidence they publish in scientific papers supporting those assertions.
202000	205000	And if they don't have any evidence to publish,
205000	209000	then railing against a hypothesis may sway public opinion,
209000	212000	but it cuts no ice in the world of science.
213000	218000	Quoting what experts say in television interviews or blogs or even congressional inquiries
218000	221000	is called an argument from authority.
221000	225000	That's why I always check to see whether any public statement
225000	230000	is supported by a peer-reviewed paper published in a respected scientific journal.
230000	233000	And if it is, then I quote that.
233000	238000	The problem for contrarians is that most scientific theories are so well supported
238000	241000	that it's hard to find any scientists who still disagree with them.
241000	246000	So people from outside have to be trucked in and their credentials puffed up.
246000	253000	Here, for example, are some familiar activists who don't accept that CO2 is the long-term driver of climate,
253000	256000	along with the phony titles they've been given.
256000	259000	And here are their real fields of expertise.
259000	261000	Does that matter?
261000	267000	No, as long as their statements are backed by evidence they've published in peer-reviewed papers.
267000	269000	But they're not.
269000	273000	So quoting these guys is not only an argument from authority, it's worse.
273000	276000	It's an argument from a phony authority.
276000	281000	Of course, the methods used to attack paleoclimatology are exactly the same
281000	284000	as the methods used to attack paleontology.
284000	289000	Turn someone into an authority, and then argue from that phony authority.
289000	293000	Professor and science researcher Ian Juby.
293000	298000	If Ian Juby has evidence that a particular type of dinosaur laid its eggs in a different manner,
298000	305000	all he has to do is write a scientific paper on this astonishing discovery and submit it for publication.
305000	311000	If we look at climate through the geological timeframe, we would never suspect CO2 as a major climate driver.
311000	316000	And instead of going on television and telling us CO2 is not a long-term driver of climate change,
