start	end	text
0	5280	Well, hello there. Welcome to my video message.
5280	9880	I know, this guy looks like he's just kidnapped your kid and he's about to give you his ransom
9880	15860	demands. In fact, he's a former nominee for the coveted Golden Crocoduck. And since today
15860	20780	is the Feast of St Jude Thaddeus, the painter and saint of lost causes, I thought it was
20780	24900	a good time to make an announcement about that award.
24900	30340	If anyone doesn't know what the coveted Golden Crocoduck is, it was awarded, well, let's
30340	32820	let creationist Ian Juby explain.
32820	38020	Now this award is given out to those creationists they deem to have broken the 9th commandment.
38020	44660	Well, almost right. It was for those creationists who verifiably breached the 9th commandment,
44660	47700	and there were always plenty of candidates to choose from.
47700	50700	Not one transitional form has been found.
50700	52700	There are no transitional forms.
52700	58700	Carbon dating indicated live snails had died 27,000 years before.
58700	63700	Shells from living snails were carbon dated at 27,000 years old.
63700	69700	Mammoths have been found with food still in their mouths, still in their gut, that is
69700	71700	tropical vegetation.
71700	76700	The evolutionary textbook, you'll still find this, they're claiming that whales evolved
76700	78700	legs and became cows.
78700	81700	It's the stupidest thing I've ever heard.
81700	85700	We ought to see cats, we ought to see dogs, and we ought to see cogs and dats.
85700	89700	And all through the fossil record and life, we don't find one of these.
89700	90700	A crocoduck.
90700	96700	Over the years, many people have been lobbying for a return of the Golden Crocoduck, so I've
96700	102700	listened to the pleas and decided, yes, I will bring it back, wait till I've finished,
102700	105700	but in a more limited form.
105700	109700	Under the old system, anyone could nominate a creationist of their choice, and every month
109700	114700	I'd go through the nominees and fact check the information, in a very respectful way,
114700	120700	of course, so as not to mock or belittle the sincerity of the creationists promoting these theories.
120700	124700	The banana and the hand are perfectly made one for the other.
124700	126700	So God has placed a tab at the top.
126700	130700	When you pull the tab, the contents don't squirt in your face.
130700	133700	Notice how gracefully it sits over the human hand.
133700	135700	Notice it has a point at the top for ease of entry.
135700	138700	It's just the right shape for the human mouth.
138700	139700	Okay, that's enough, Ray.
139700	141700	I'm getting palpitations.
141700	143700	So here's the thing about the Golden Crocoduck.
143700	150700	As you know, I tried very hard to not make it amusing or somehow belittling of these creationist ideas.
150700	156700	I'm less interested in whether Ray Comfort is holding something God made that fits into his hand,
156700	161700	designed for ease of entry into someone's mouth without squirting in their face.
161700	162700	What?
162700	163700	Oh, come on.
163700	165700	I'm talking about his banana.
165700	167700	I'm trying to make a serious point here.
167700	172700	I'm less interested in that than the claim that God made the banana just like this,
172700	179700	rather than whether the modern banana was cultivated by humans from a small, wild, seed-filled fruit.
179700	186700	If a claim turned out to be false, and therefore a breach of one of the creationists' own most sacred commandments,
186700	190700	it got highlighted in a respectful and thoughtful video.
190700	192700	But hey, how about the Earth's magnetic field? This is slow, folks.
192700	195700	If we extrapolate backwards, just as 20,000 years ago!
195700	196700	How long?
196700	197700	20,000 years ago!
197700	198700	20 million?
198700	199700	Not 20 million!
199700	200700	20 billion?
200700	201700	Not 20 billion.
201700	204700	20,000 years ago the heat produced by the magnetic field would have liquefied the Earth!
204700	205700	Get the fuck out of here!
205700	206700	Get the fuck out of here!
206700	207700	20,000 years ago!
207700	210700	And a million years ago, folks, get this, the magnetic field would have been so strong,
210700	211700	it would have vaporised our planet!
211700	212700	Vaporised the planet?
212700	214700	Get the fuck out of here!
214700	217700	Then in September I'd open it up for voting.
217700	221700	On the feast day of St Jude Thaddeus, the patron saint of lost causes,
221700	226700	we'd hold a star-studded gala from the St Jude Thaddeus Theatre in beautiful downtown
226700	229700	Wagga Wagga and I'd announce the winner.
229700	234700	Well, what would happen as that poor dinosaur was breathing heavily in and out through those
234700	235700	very narrow nostrils?
235700	239700	Well, I'll tell you what would happen is the nostrils would catch on fire.
246700	250700	But things will have to be a little different from next year given my time constraints.
250700	255700	There won't be a monthly look at the nominees, there'll just be one video a year.
255700	259700	And that means I can't open it up for voting, sorry.
259700	263700	But you can, of course, post your opinions in the comments section.
263700	268700	I'll gather the best of the nominees, make a video on them, and then announce my choice
268700	271700	on, of course, October 28th.
271700	277700	Now, even though I'm clearly being very respectful of these creationist ideas, there are those
277700	283700	who say the Golden Crocoduck is just frivolously and gratuitously poking fun at people of faith
283700	286700	for the purpose of cheap and easy laughs.
286700	289700	So get those nominations in now.
289700	293700	They close at the end of March because then I have to put together the awards in time
293700	296700	for October 28th, 2023.
296700	298700	Now, a few ground rules.
298700	300700	Videos only, please.
300700	305700	If YouTube won't let you add the link, just give the title of the video, the name of the
305700	307700	channel, and the host website.
307700	308700	I'll find it.
308700	312700	And remember, there are other video hosts with even weirder religious channels.
312700	316700	Sorry, I mean, even more interesting creationist theories.
316700	320700	Secondly, please make sure it is a breach of the Ninth Commandment.
320700	326700	That means something that is verifiably false, not just an opinion or a belief.
326700	331700	For example, in the previous series of Golden Crocoduck awards, I accepted claims from participants
331700	337700	at the Santa Convention that the Earth doesn't spin on the basis that this has been disproved
337700	338700	by basic physics.
338700	340700	It is not moving.
340700	344700	And claims that the only way rocks can fold is if they're newly laid.
344700	348700	Strata will not remain plastic for millions of years so that they can bend.
348700	354700	The only way the strata could have been bent is because they were still plastic, still soft and moist
354700	356700	when they were bent.
356700	362700	Tickers that's been disproved by laboratory experiments of hard, dry rocks under pressure.
362700	368700	But I didn't accept as a nomination the claim that the nostrils of dinosaurs caught fire
368700	370700	because they breathed harder.
370700	373700	However laughable that may sound, it's a belief.
373700	379700	Still, I'm glad someone nominated it anyway because later in the nominated video I did find a breach
379700	381700	of the Ninth Commandment.
381700	385700	Richard Kent claimed that this picture was drawn by pygmies in West Africa
385700	388700	as evidence of the existence of modern-day dinosaurs.
388700	396700	And there's a drawing which they made of the makale mobembe and it looks to me very much like a dinosaur.
396700	401700	And when I searched for the image online, I found that it had come from a children's book
401700	406700	and the artist was not a Congo pygmy who had seen this alleged dinosaur.
406700	413700	And he was a creationist trying to persuade young, fertile minds that dinosaurs still exist.
413700	419700	That's what I meant by verifiable evidence, not just something we deem to be wrong.
419700	424700	Now this debunking of the picture may be rather dull and factual, but it gave me a great opportunity
424700	431700	to air the fiery dinosaur-nostril theory which I knew my subscribers badly needed to hear.
431700	433700	Likewise, this one.
433700	439700	This is a replica of an oviraptor egg nest. This is what the dinosaurs want to do.
