start	end	text
0	5160	A few months ago I started having a video debate with a guy named Potholler, who had
5160	8440	made some utterly ludicrous assertions in his videos.
8440	12960	Well one thing's true, we were having a great debate, and I'm very happy to link
12960	17920	the debate in the video description so you can judge for yourselves. Tony opened the
17920	23880	debate by making these claims, which I listed in my opening response. And then I provided
23880	29240	clear evidence that disproved each and every one, either by checking Tony's sources and
29240	34720	how he misread them, or showing things that he claimed didn't exist, or challenging
34720	40080	his misquotes by asking for video clips that he couldn't provide, or contradicting his
40080	46200	claims with actual facts and figures, which is how science debates are supposed to work.
46200	50280	After only three rounds of this, Tony refused to continue.
50280	55440	So I'm delighted to see that eight months on he's finally rejoined the debate, a week
55440	59920	before I was due to fly home in fact, so he's just in time.
59920	64200	I got back a couple of days ago, so I can now post my response.
64200	69800	So let's take a look at his latest rebuttal.
69800	74120	Hold on, as I've said before, personal insults aren't helpful, and they don't shed any
74120	79300	light on who's correctly reporting the facts. I'm going to maintain this debate as a debate
79300	84200	about science, not who can produce the most offensive personal insult.
84200	89320	But before we go on to what I actually said, let's start with what Tony claims I said
89320	93760	using illustrations from my video that address the point he's making.
93760	98840	So potholars arguing boils down to the idea that a little tiny nudge caused by changes
98840	102480	in orbital cycles starts and ends ice ages.
102480	107520	Tony's misquote is what's known as a straw man, invent something completely ridiculous,
107520	111880	claim the other person said it, and then masterfully demolish it.
111880	117120	So let's go with what I actually said, rather than what Tony wishes I'd said.
117120	122440	I said that regular orbital cycles cause a small change in insulation, and this starts
122440	127400	a process called positive feedback, causing strong warming or cooling.
127400	132880	That again is not my theory, it's the conclusion of scientific research that I've cited.
132880	137640	I'm happy with that being characterised as a tiny nudge, as long as it's understood
137640	141300	that the tiny nudge is a change in insulation.
141300	145760	But I never said that a tiny nudge stops this process.
145760	150940	As I explained, warming or cooling is stopped because feedback is less than one, so positive
150940	156540	feedback gets weaker and weaker, until finally the amount of energy leaving the Earth equals
156540	158920	the amount coming in.
158920	162920	But then he says you start getting feedbacks caused by carbon dioxide and methane being
162920	164260	released from the ground.
164260	165260	Yes.
165260	167340	Yes, I did actually say that.
167380	171820	I think that's the only quote Tony's got right in his entire rebuttal.
171820	176620	The reason I said that is because that's the conclusion of scientific research, and
176620	180060	of course I backed it up by citing scientific studies.
180060	185020	And this starts accelerating it faster and faster until it comes, as he described it,
185020	186140	crashing into the ground.
186140	191300	But of course I never said that any of these glacial cycles come crashing into the ground.
191300	193340	How's that even possible?
193340	196860	He seems to be mixing up two completely different things.
196900	202420	I used this very simple illustration in one of my videos to explain the principle of positive
202420	206720	feedback, using the example of a balance with a rolling weight.
206720	210840	In this example, positive feedback brings the plank crashing to the ground, because
210840	213520	the feedback is greater than one.
213520	219060	In other words, even after the initial forcing stops, the tilting continues and accelerates.
219060	223440	In the example of feedback in glacial cycles, I explained that once the initial forcing
223440	228760	stops, positive feedback doesn't get faster and faster and lead to runaway warming, because
228760	231200	feedback is less than one.
231200	235780	I can list the differences very clearly in this graphic, so hopefully they won't get
235780	239880	mixed up again in Tony's next rebuttal.
239880	242920	But he never explains what crashing into the ground means.
