start	end	text
0	4740	The first time I uploaded this video I was hit with a wave of posts from people who pointed
4740	10160	out a minor error – that I had described the founder of PragerU as a Christian rather
10160	11760	than a Jew.
11760	18120	That makes absolutely no difference to PragerU's misrepresentation of science by its two presenters,
18120	22780	but even after I issued an immediate correction the posts still kept coming.
22780	26920	So I decided to eliminate this distraction and re-edit the video.
26920	31720	It'll be interesting to see if the complainants are now willing to show equal indignation
31720	33320	at PragerU's errors.
33320	36600	I'll discuss this in more detail later in the video.
36600	37800	Thanks for watching.
37800	44600	Perhaps the best arguments for his existence come from, of all places, science itself.
44600	45880	Scientific evidence for God.
45880	47760	Sounds convincing.
47760	53320	I first encountered Prager University, PragerU, when I did a video a few months ago debunking
53320	54520	Patrick Moore.
54520	57400	Each week PragerU offers a new course.
57400	63700	Each week we teach what isn't taught, what should be, how faith, reason and science are
63700	65400	fully compatible.
65400	70640	It's different from most universities in that it's not an accredited university.
70640	74480	It's a video channel run by a religious talk radio host.
74480	77680	It doesn't have a campus or any degrees.
77680	83080	After I watched the video Science vs God, or as PragerU put it, completed the course,
83080	85880	I didn't get a degree but I did earn a badge.
85880	87800	I'm wearing it now.
87800	91440	So what is the scientific evidence for God?
91440	95480	It turns out it's just a repeat of an old creationist's claim that the universe is finely
95480	99340	tuned and something finely tuned is impossible.
99340	103120	So something else that's finely tuned must have caused it.
103120	106480	Which of course doesn't make any sense but we'll come onto that in a minute.
106480	110660	And the other scientific evidence is that the number of planets in our galaxy harbouring
110660	114080	life is probably only a few thousand.
114080	116020	So what's the story, Eric?
116020	117460	Here's the story.
117460	122500	The same year Time featured its now famous headline, the astronomer Carl Sagan announced
122500	127440	that there were two necessary criteria for a planet to support life – the right kind
127440	131700	of star and a planet the right distance from that star.
131700	137180	Given the roughly octillion planets in the universe – that's one followed by 24 zeros
137980	142020	– there should have been about septillion planets – that's one followed by 21 zeros
142020	144900	– capable of supporting life.
144900	150660	With such spectacular odds, scientists were optimistic that the search for extraterrestrial
150660	156700	intelligence known by its initials S.E.T.I., an ambitious project launched in the 1960s,
156700	159180	was sure to turn up something soon.
159180	164540	With a vast radio telescopic network, scientists listened for signals that resembled coded
164540	165540	intelligence.
165540	169620	As the years passed, the silence from the universe was deafening.
169620	171380	OK, couple of things here.
171380	174820	Firstly, S.E.T.I. wasn't listening in on the whole universe.
174820	180180	It was listening in on only a fraction of one galaxy out of a hundred billion galaxies
180180	181180	in the universe.
181180	184820	Secondly, that's intelligent life, Eric.
184820	188340	What you were talking about at the beginning was simply life.
188340	190100	Nice switch, by the way.
190100	192400	And for that, Sagan was basically right.
192400	197400	You just need the right kind of star, and a planet the right distance from that star.
197400	202120	Not so close that water is all boiled away, and not so far that it turns to ice.
202120	211120	As of 2014, researchers have discovered precisely bubgus, nada, zilch, which is to say zero,
211120	213440	followed by an infinite number of zeros.
213440	215600	All right, Eric, don't over-egg the pudding.
215600	220760	Look, even if we detect nada, zilch, naught point naught naught naught naught, because
220760	224840	every galaxy has just one planet harbouring intelligent life.
224840	227800	In other words, we're completely alone in our galaxy.
227800	232440	That still means there would be over a hundred billion planets harbouring intelligent life
232440	237960	in the universe as a whole, because, as I said, there are over a hundred billion galaxies.
237960	242960	Eric doesn't tell us who's made these fifty criteria for life, so it's impossible to check
242960	243960	it.
243960	248520	But NASA, which does know a thing or two about finding life on other planets, has just three
248520	249520	criteria.
249520	254880	One planet must be warm and it must have water, which we now know is pretty universal.
254880	259360	They've only added one thing to Sagan's criteria, it must have oxygen.
