start	end	text
0	5280	For those who are skeptical about the rise in sea level caused by global warming, here
5280	7520	are some scientific predictions that were made.
7520	10760	So we were told sea levels would rise and we'd have to evacuate the coasts.
10760	15280	Let's take a look here, Sydney Harbor, 140 years.
15280	22160	He predicted that within 30 years, i.e. this year, lower Manhattan would be under water.
22160	25360	And here's how scientists measure that sea level rise.
25360	26360	Just there.
26360	28800	It's going up by about a millimeter.
28800	29800	Rising sea level.
29800	30800	You got it?
30800	31800	I've got it.
31800	32800	Three mil.
32800	33800	Well, no prizes for guessing.
33800	39440	This isn't how they measure sea level rise and these aren't scientific predictions.
39440	44000	They're just what bloggers and pundits think scientific predictions and measurements are
44000	49680	because when they do their own research, they don't check scientific studies to find out.
49680	54520	They just get their information from other TV shows, books, newspaper columnists and
54520	55520	bloggers.
56080	61520	We'll take a look at the real scientific predictions and how sea level rise is being measured later
61520	63800	in the video.
63800	65280	Why do the critics do it?
65280	71200	Well, of course, it's a very old tactic, taking a leaf out of the creationist manual.
71200	75080	Invent your own science, create your own scientist, even.
75080	77280	Make his claims as stupid as possible.
77280	82680	I think what you must remember is that as true scientists, we are constantly searching
82680	83680	for evidence.
83680	87680	Prove that which we already believe to be truth.
87680	92280	And then amaze your audience with your skill in demolishing them.
92280	97540	So if the science critics aren't explaining what the science says, where do you go?
97540	101760	The same place real scientists go when they want to look at the latest discoveries in
101760	106120	their field, respected peer-reviewed scientific journals.
106120	110420	And if you find these rather daunting, then get your information from reputable science
110420	115620	media where these studies are accurately reported and cited.
115620	120500	Now you may not trust or believe the studies, maybe you think they're part of a huge worldwide
120500	126140	conspiracy, but at least you'll know what they actually say instead of relying on spurious
126140	131100	blogs and news pundits to misinform you about what they say.
131100	134820	Before we look at the fallacies, let's start with the basics.
134820	140620	Why are sea levels rising and expected to rise further as the Earth heats up?
140620	145900	The most obvious reason is that higher temperatures mean more ice is melting, which I'm sure makes
145900	149020	perfect sense even to people who never studied science.
149020	153540	How long will it take for the sea level to rise two feet?
153540	158180	Think about it, if your ice cube melts in your glass, it doesn't overflow, it's displacement.
158180	161380	This is the thing, some of the things that they're talking about, mathematically and
