start	end	text
0	8000	In my last video I bust the myth that the 3.4% case fatality rate announced on March 3rd was false
8000	15000	and I showed that posters who insisted the number was wrong were confusing it with the infection fatality rate.
15000	18000	At the end of the video I predicted this.
18000	22000	My bet is that the next response will be, well it doesn't matter anyway.
22000	27000	And guess what? A batch of posts that said, well it doesn't matter anyway.
28000	35000	Instead they tried a new argument, that the deaths due to Covid-19 aren't really deaths due to Covid-19.
35000	40000	So in this constant game of whack-a-mole I'm going to whack that one down too.
40000	47000	By the way, at the end of the video I'd like subscribers to give me some advice and opinions about a possible change to the channel.
47000	49000	Nothing drastic.
49000	51000	But back to the new argument.
51000	61000	A lot of people said it doesn't matter anyway because according to the CDC, apparently, only 6% of Covid deaths are actually due to Covid-19.
61000	66000	It wasn't hard to track this myth down because the President himself has been spreading it.
66000	78000	This week the CDC quietly updated the Covid number to admit that only 6% of all the 153,504 deaths recorded actually died from Covid.
78000	85000	But as you can probably guess, Twitter isn't the most reliable platform for relaying scientific information.
85000	90000	So did the CDC really say this? Well, not quite.
90000	97000	What it actually said was, for 6% of the deaths, Covid-19 was the only cause mentioned.
97000	99000	Doesn't that mean the same thing?
99000	110000	No. What the figure means, and you don't need to guess because the CDC explains exactly what it means, is that 6% of Covid deaths showed no comorbidities.
110000	114000	In other words, no other health conditions at the time of death.
114000	121000	And that low percentage is quite normal because viruses nearly always cause other health conditions.
121000	126000	Measles, for example, causes pneumonia, dehydration and encephalitis.
126000	130000	HIV causes pneumonia and cardiovascular disease.
130000	134000	The Ebola virus causes haemorrhaging and malaria.
134000	139000	And as we know, Covid-19 causes pneumonia and cardiac arrhythmia.
139000	144000	On top of that, a third of Americans have some kind of pre-existing health condition.
144000	151000	So it's pretty obvious that having comorbidities for any virus is the rule, not the exception.
151000	162000	The original source of this claim seems to have been a website called The Virus Truth, which, as you can guess from the title, is a blog specifically designed to spread disinformation about the virus.
162000	173000	There's even a page on the link between 5G and Coronavirus, and a page which shows how Covid-19 is being deliberately sprayed onto door handles at Trump-owned buildings.
173000	186000	And just to show what a weird place the internet has become, some of you probably do believe that coronavirus is being deliberately sprayed onto door handles at Trump-owned buildings, even though that's not on the website and I just made it up.
186000	198000	Since that first blog of... No, I made up the claim about coronavirus being sprayed onto door handles. You can stop believing it now. It's not a thing, not even in conspiracy sites.
198000	201000	Too late, it's probably already trending.
201000	211000	Anyway, since that blog first appeared, the 6% claim has been copied and pasted verbatim all over the internet, from Twitter to Facebook to Reddit.
211000	219000	Just to be clear, the CDC didn't quietly update the Covid number. That suggests the CDC didn't want anyone to know about it.
219000	229000	It posts an update at the same time every week, and this one was no different. Millions of people read these posts, they're publicly available and hardly secret.
229000	233000	And it didn't admit anything, it simply reported the facts.
233000	241000	Admit is one of those wonderful editorial words that makes it look as though someone's been hiding something or that a previous claim has been reversed.
241000	250000	In this case, it was neither. The CDC was simply stating facts about comorbidities and anyone could access their website to see the facts.
251000	260000	And at the time of writing, the CDC is still stating the same facts in its weekly updates, and that particular figure is still 6%.
260000	275000	Before I move on, it is a tad unorthodox for the President of a country to get important medical information from a tweet, given that he has a team of experts, including the head of the CDC itself, on call day or night to explain the facts.
275000	289000	But formulating US policy on the basis of something someone copied from a blog to a tweet has become so normal now, I'm sure a lot of people would think it churlish and un-American for me to even mention it. Sorry.
