start	end	text
0	7000	Welcome to the 5th annual Golden Crocoduck Awards!
7000	17000	Yes, a hearty welcome to the 2013 Golden Crocoduck Award, brought to you from the beautiful St Jude Thaddeus Theatre in downtown Burbank.
17000	24000	As you know, the Golden Crocoduck is awarded every year for the biggest breach of the 9th Commandment in pursuit of the creationist cause.
24000	29000	And if you don't know what the 9th Commandment is, then you weren't paying attention in Sunday School.
29000	33000	It's the Biblical law that forbids the bearing of false witness.
33000	43000	And the reason it's bestowed on creationists is because it's ironic that they're willing to make false statements in order to promote a religion that forbids the making of false statements,
43000	48000	including false statements that promote a religion that forbids the making of false statements.
48000	50000	Get the irony?
50000	58000	OK, not everyone does, but I think the rest of us find these false utterances almost as funny as gay preachers railing against homosexuality.
58000	64000	Before we get onto the main agenda, please stay to the end because I have an important announcement.
64000	68000	So who has won this year's coveted Golden Crocoduck?
68000	74000	We whittled down all the nominations to five worthy contenders, whom you saw in the last video.
74000	78000	So without further ado, here in reverse order are the scores.
88000	91000	We got it.
118000	126000	Congratulations, Louis.
126000	130000	Of course, Louis is no stranger to the Golden Crocoduck award.
130000	137000	He was nominated in 2011 for his insistence that a protein called laminin was in the perfect shape of a cross.
137000	145000	And this year he won for insisting that dead stars can decide to start spinning and that sound travels through the vacuum of space.
145000	154000	If you sense a pattern here, well, that's Giglio's stock in trade, to detect signs of Jesus in just about everything he sees and hears.
154000	162000	Yes, I know it's nothing new for creationists to look at a daffodil or a sunset and babble on about how they see in it the work of the Lord,
162000	165000	but Giglio takes this to a literal extreme.
165000	176000	He thinks God has actively planted these symbols and that in the sounds they make, animate and inanimate objects are in fact seriously attempting to sing praises to God.
176000	185000	And you have to wonder, does Giglio just sit at a computer for hours googling images just to find something that vaguely resembles a cross?
185000	189000	Don't laugh. That's exactly what he does.
189000	197000	Well, while I was in Durango with these students, I was just looking for something that I hadn't seen before. I was on the Hubble site searching Whirlpool images.
197000	201000	You remember the darling of astronomy, the Whirlpool galaxy.
201000	211000	And I just searched Whirlpool. A list of names of images came up. One of them was called the X structure at the core of the Whirlpool galaxy.
212000	220000	I thought, OK, I click on that link and a photograph comes up, an image comes up on my computer screen, almost knocks me off of my seat.
220000	225000	I cannot believe it. I'm just staring at it with my mouth open. It's 31 million light years away.
225000	235000	The Hubble Space Telescope, seeing what we cannot see, has looked into the dark black hole core of the Whirlpool galaxy and sent us back a photograph.
235000	245000	Here's what NASA sent us back from 31 million light years away, deep in the core of the Whirlpool galaxy. We get this image coming back to us.
248000	254000	What is it? Well, what we're seeing are two rings of dust orbiting a black hole in the middle of the galaxy.
254000	261000	And they look black because they're blocking light. And because we're seeing the rings end on, they don't look like rings.
261000	268000	So nothing exemplifies the difference between creationists and the rest of us than how we view discoveries like this.
268000	277000	To the scientists who made this discovery and to anyone interested in learning about the fascinating universe we live in, this image is a breakthrough.
277000	285000	It's the first direct view of a ring of dust fueling a massive black hole, an event predicted by theoretical physics.
285000	295000	In a huge galaxy, millions of light years from Earth, two rings of dust a hundred times the diameter of our solar system are swirling around a black hole.
295000	304000	Hot ionised gas from the rings moving at speeds of up to 2 million miles an hour is being swallowed up into gravitational oblivion.
304000	307000	And what does a creationist see?
307000	316000	Ooh, looks just like Jesus. And that looks like Jesus. And that looks like Jesus. And ooh, that looks a lot like Jesus.
316000	321000	And of course it's not just the sights that get Louis excited, it's also the sounds.
321000	328000	We've already seen how he believes a distant pulsar is singing praises to God, and so is every other grunt and rattle.
328000	330000	What, even this?
330000	335000	Now surely there's no way Giglio can insist that this is a hymn to God.
335000	341000	You know, the whales, one of the main ways they get around is through the whale songs that they sing.
