start	end	text
0	11180	In my video, Coronavirus vs Politics, I mentioned that the WHO had announced a global death
11180	13420	rate of 3.4%.
13420	20460	Globally, about 3.4% of reported Covid-19 cases have died.
20460	23400	And that President Trump said he thought that number was false.
23400	27440	Well, I think the 3.4% is really a false number.
27440	32580	So in order to establish the facts, I explained in my video how the figure was derived.
32580	37100	The figure is correct because it's simple maths – the number of deaths at the time
37100	41260	of the study divided by the total number of reported cases.
41260	44060	That's the number of people who've tested positive.
44060	49640	It's known as the case fatality rate, or more colloquially, the death rate.
49640	54100	But judging from the posts on the forum, not everyone got it.
54100	58940	So I'll try to make it easier to understand, this time with analogies and illustrations.
58940	62860	Let's start with the claims that the figure wasn't known.
62860	67260	Well, it was known because it's a simple matter of dividing two numbers for a given
67260	69700	population on a given date.
69700	74380	About 3.4% of reported Covid-19 cases.
74380	81740	And at the time of the statement, the number of reported cases worldwide was 98,192.
81740	86560	And the number of recorded deaths was 3,380.
86560	91620	Just to make sure the WHO got their sums right, I did the calculation myself.
91620	100500	3,380 divided by 98,192 and multiply by 100 to give you the percentage.
100500	106620	That gives you 3.44%, or 3.4% to one decimal place.
106620	108860	So the figure was right.
108860	113300	Epidemiologists call this the CFR, or case fatality rate.
113300	118060	It's not measuring all the infections or all the deaths, it's only measuring the
118060	120900	reported cases and recorded deaths.
120900	123360	And that was clearly spelled out.
123360	127820	So the honest scientific answer is not, we don't know, the honest scientific answer
127820	130500	is 3.4%.
130500	135220	The only way that number can change is if the number of reported worldwide cases and
135220	139720	recorded worldwide deaths up to March 3rd were revised.
139720	142280	But so far they haven't been.
142280	146820	I think one reason for people's confusion is that they assume there's just one number,
146820	149040	one definitive CFR.
149040	150640	In fact, there are many.
150640	155460	As I explained in the video, if you sample global figures at a different time, the CFR
155460	157020	would be different.
157020	163080	So for example, up to September 22nd, the CFR was 3.1%.
163080	167660	Or if you focused on just one part of the world population, like Denmark, the figure
167660	170280	would be different again.
170280	175320	I explained that the CFR will vary from country to country because it's dependent on a number
175320	181140	of variables, such as demographics, quality of healthcare and so on.
181140	186220	To use an analogy, it's a bit like giving world ticket sale figures for the movie Avengers
186220	191760	Endgame up to May 3rd, 2019, as a percentage of population.
192480	195680	Let's say 50 million people saw the movie.
195680	200880	Out of a world population of 7 billion, that would be 0.7%.
200880	205440	The percentage of people in Spain who saw the movie during the same period would obviously
205440	207040	be different.
207040	210920	And the percentage of the world who saw the movie on a different date would be different
210920	212440	again.
212440	217360	You can't say we don't know the global figure up to May 3rd or that it's an estimate
217600	223040	just because ticket sales for different countries on different dates are, not surprisingly,
223040	224040	different.
224040	228840	OK, I'm going to anticipate a flood of posts here along the lines of, we can't be sure
228840	231700	that all the deaths are due to COVID-19.
231700	234320	Some people might have died of natural causes.
234320	239300	But because they coincidentally had COVID, doctors just put it down to COVID.
239300	243560	So that number is an estimate, which means the CFR is wrong.
243560	248840	Firstly, the number in this equation isn't the number of deaths, but the number of recorded
248840	252140	deaths attributed to COVID-19.
252140	257240	Of course, the fatal conditions it causes, like cardiogenic shock, septic shock, multiple
257240	262000	organ failure or respiratory failure, could have happened anyway that same day.
262000	264800	And that's probably true in some patients.
264800	270240	But in most cases, if the patient hadn't contracted COVID-19, he or she might have continued living
270240	273720	for another 10, 20 or even 60 years.
273720	278000	The best way to measure that is something called excess mortality, the number of deaths
278000	281000	above the seasonal average.
281000	283040	And this shows something surprising.
283040	287880	The number of excess deaths in the UK and the USA is actually higher than the number
