start	end	text
0	3280	In the first two videos we looked at the age of our universe
3280	7680	but how do we know the age of the earth and the ages of the rocks it contains?
7680	10960	Fortunately there are a number of different techniques
10960	15680	and they can all be checked against each other and they all tell us the same story.
15680	19280	Let's start with the benchmark, comparative dating.
19280	23440	The golden rule is that newer sedimentary deposits are always laid on
23440	23880	top of
23880	27240	older ones so except where rocks have been folded
27400	31240	this orange bed would be older than the green one and the green one is older
31240	32200	than the blue one.
32200	36320	Geologists can then follow a single bed to make similar deductions in a
36320	37560	different locality.
37560	40640	The dark grey bed may be at the surface
40640	44840	or even at a higher point than the others but it's older than all of them
44840	48800	and the light grey bed is older still. What we end up with
48800	53640	is what's called the geological column. To get the absolute dates of these rocks
53720	57680	scientists use a variety of different methods. I'll start with one of the
57680	59320	easiest and most recent.
59320	64080	We all know trees have rings because in summer they grow faster than in winter
64080	67640	but seasonal growing conditions vary according to the weather
67640	73320	so the bands will vary in size. Each time period in each geographical location
73320	77240	has its own distinctive pattern of tree rings like a fingerprint.
77240	81640	So if we take wood of a known age we can match the oldest part of it
81640	88640	with the youngest part of another piece of wood and so on back through time.
88640	93080	Our upper atmosphere is constantly being bombarded by neutrons from the Sun.
93080	97320	When one of them hits a nitrogen atom in the air it knocks off a proton
97320	102360	changing the atom from nitrogen into carbon. But this is a heavy and unstable
102360	104760	form of carbon called carbon 14
104760	107840	or C14. The normal form of carbon
107920	113840	is C12. In the atmosphere C14 combines with oxygen to make carbon dioxide
113840	117480	which is then absorbed by plants and into the bodies of
117480	122720	animals that eat the plants. The ratio of these two isotopes in animals and plants
122720	126200	is roughly the same as the ratio in the atmosphere around them.
126200	131240	But when the animal or plant dies C14 decays over time
131240	136200	and reverts back to nitrogen. So compared to C12 which doesn't change
136320	140520	the amount of C14 falls at a constant measurable rate.
140520	144200	By measuring this ratio inside the dead animal or plant
144200	149120	scientists can find out when it died. Before I look at other dating techniques
149120	152080	I'll bat a few hoary old myths about carbon 14
152080	155760	out of the ballpark. No it's not.
155760	159720	That's like saying cars don't work because sometimes drivers get lost.
159720	164040	Carbon dating works fine but if the wrong stuff gets analyzed then you'll
164040	165520	end up getting the wrong date.
165920	169880	So if there's bacteria or mold or any kind of contamination on the sample
169880	173800	the date will be wrong. If the results aren't calibrated properly
