start	end	text
0	5780	Four hundred million years ago, this was a cauldron of exploding volcanoes and molten
5780	11700	lava. A few million years later, a shallow tropical sea appeared and laid down this bed
11700	17040	of limestone. None of which would really matter to anyone today, except for the fact that
17040	23400	this is Flodden Field, the site of one of the bloodiest battles in British history.
23400	28660	But how did a volcanic eruption four hundred million years ago help defeat one of the strongest
28660	33620	armies ever to invade England? And why did the formation of the Ardennes Mountains in
33620	39620	Belgium cause the death of the King of Scotland and change the course of British history?
58660	87540	In this series, we are going to look at how environments far back in time, millions of
87540	93900	years before humans appeared on Earth affected the outcome of battles and changed human history.
93900	99180	The type of rock an army found itself fighting on was sometimes a matter of design, but often
99180	104100	it was pure chance. And if the right type of environment had laid down the right type
104100	110560	of rock, it gave the underdog an unwitting victory.
110560	115060	The underdog at the Battle of Flodden five hundred years ago was Henry VIII's army of
115060	122500	around 26,000 men. Henry himself wasn't even there. He was off fighting in France and he
122500	127460	left the elderly Earl of Surrey in charge of what remained of his forces in England,
127460	131260	with strict instructions not to trust the Scots.
131260	137540	His potential adversary was James IV, a Renaissance king with a keen interest in science and culture
137540	143740	and an old-fashioned spirit of chivalry. A powerful ruler, James had united Scotland,
143740	148600	founded its navy, encouraged the first printing press and brought culture and prestige to
148600	154580	the nation. He even married Henry VIII's sister and signed a perpetual treaty of peace with
154580	160260	England. But when France came under attack, James felt honour-bound to strike a blow for
160260	167140	the old Scottish-French alliance. He assembled an army of over 30,000 men and crossed the
167140	172180	border here at the River Tweed.
172180	178100	The Scots sacked Norham Castle, the English fortress that overlooks the river. As they
178100	186700	marched south, other castles fell with barely a fight. Then James came up against two things.
186700	196360	One was Henry VIII's home army. The second was some serious Devonian geology.
196360	202060	The Devonian was a period so far back in time you can forget humans. Oh, it was way back
202060	207540	before the dinosaurs and even the animals that evolved into dinosaurs. During the Devonian,
207540	213700	around 400 million years ago, there were no land animals at all. And that wasn't the only
213700	218540	thing that was different about the Devonian period. The geography of the continents was
218540	225780	unrecognisable. Europe was in the tropics. It moves because the pieces of the Earth's
225780	231620	crust are in constant motion, floating on the Earth's upper mantle. Plates of basalt
231620	237760	which make up the ocean submerge under thicker plates made of granite, which are the continents.
237760	243700	As they do so, they melt, creating chains of volcanoes.
243700	248500	But when pieces of continent collide, they can't submerge. Instead, they crumple into
248500	254980	huge mountain ranges and eventually fuse together. For billions of years, these pieces of crust
254980	260380	have been splitting apart, drifting around and colliding.
260380	265740	By the beginning of the Devonian, two of these plates, Eurasia and North America, had crashed
265740	270860	together. As they pushed against each other, they threw up the Caledonian mountains and
270860	276340	forged Scotland. Further south, in the Cheviot Hills, the grinding
276340	282080	of the crustal plates caused enormous friction. Rocks at the base of the crust melted and
282080	286920	pushed their way through fissures to the surface. There they exploded in a cauldron
286920	293360	of ash, gas and molten lava. And this is the result. A thick layer of volcanic
293360	300360	material, heaped onto the barren Earth. Look at it closely and you can see it's a
300360	306640	mixture of ash, rock fragments and other volcanic debris. Sandwiched between layers of lava,
306640	312480	geologists estimate this volcanic material was once two kilometres thick. Towering volcanic
312480	318800	peaks dominated the landscape. So 400 million years ago, this was an enormous
318800	325120	mountain range. But wind, rain, sun and ice have worn the mountains down and as we travel
325120	332120	north-east, the peaks get smaller and lower. Their last gasp is an outlying lump called
332120	340000	Flodden Hill. It's covered in woodland today, but in 1513
340000	345040	this was an exposed volcanic outcrop and when King James saw it, he immediately realised
345040	350400	its potential. The steep scarps facing south would be like a fortress against the advancing
350400	357140	English army. He dug gun emplacements into the side of the hill and waited.
357140	361920	This outcrop on the side of Flodden Hill shows exactly what it's made of. A lava called
361920	370720	andesite, which flowed out of a volcano and then solidified into this solid mass.
370720	376360	But the sheer size of this volcanic outlier proved to be a little too impregnable. The
376360	382440	Earl of Surrey quite sensibly decided he didn't want to attack it.
382440	388720	So he came up with a risky plan. Surrey would lead his army right around Flodden Hill and
388720	398400	face the Scots from the other side. Out of sight he embarked on a two-day forced march.
398400	403160	His exhausted and bedraggled army finally reached its objective at about four o'clock
403160	408600	in the afternoon of the 9th of September. The vanguard of Surrey's army broke cover
408600	414560	here about a mile and a half north of Flodden Hill. James now realised that the English
414560	420520	army was behind him. His supply lines from Scotland had been cut and his line of retreat
420520	426840	blocked. He had no choice but to come down from his natural fortress. He moved his army
426840	432200	to the piece of high ground opposite called Branxton Hill. But what neither he nor Surrey
432200	438540	understood was that each was occupying a completely different type of slope. While the Scots were
438540	444360	still on the andesite, the volcanic rock, the English had set up on a piece of limestone
