start	end	text
0	6000	Humans and animals and plants were much larger before Noah's flood.
6000	16000	Here is a dragonfly, and it's got a 50 inch wingspan, that's a fossilized dragonfly found in Italy.
16000	17000	I can't imagine that.
17000	21000	Can you imagine a dragonfly flying around in your sitting room?
21000	22000	No.
22000	24000	50 inches across.
24000	26000	Never frightened the life out of me, don't know about you.
26000	27000	Doesn't bother me.
27000	34000	Now, cockroaches, fossilized cockroaches, they found fossil cockroaches 18 inches long.
34000	35000	I certainly can't imagine that.
35000	40000	Can you imagine what it would feel like to have a cockroach 18 inches long
40000	41000	I can't imagine.
41000	43000	coming out of the cupboard underneath your kitchen sink?
43000	45000	No.
45000	49000	Fossils of grasshoppers have been found over 2 feet long.
49000	50000	Don't ask me to imagine it.
50000	52000	That would be huge. Can you imagine looking out onto your garden
52000	53000	No.
53000	55000	and seeing a 2 foot long grasshopper?
55000	56000	No, I said I can't imagine it.
56000	58000	Well, that's what the fossil record actually shows.
58000	59000	I don't care.
59000	61000	So maybe we'd have to go on a grasshopper hunt.
61000	63000	I am not going to imagine this one.
63000	65000	Giant tarantula.
65000	67000	I'm not going to imagine it.
67000	69000	Great big spiders, a foot long.
69000	71000	Don't make me imagine it.
71000	72000	Can you imagine that?
72000	73000	No.
73000	77000	Imagine that scuttling across your floor as you're watching this now.
77000	81000	Cattails have been found 60 feet high.
81000	82000	Can you imagine?
82000	83000	No.
83000	84000	Can you imagine?
84000	87000	I'm going to get a glass of water.
87000	90000	Don't say anything.
90000	96000	Can you imagine that grass 60 feet high in the sedimentary rock?
96000	99000	Well, you're going to ask, what about dinosaurs?
99000	101000	We'll come onto that in a minute.
101000	104000	First, what exactly is all this about?
104000	108000	Well, Dr Richard Kent explains that oxygen levels were much higher in the past
108000	111000	and that's given him a new theory about the dinosaurs.
111000	115000	Oxygen levels were indeed much higher during the Carboniferous
115000	118000	but that was long before humans appeared on Earth.
118000	122000	Nearly all of the unimaginably large insect fossils he's showing us
122000	125000	were found in Carboniferous sedimentary rock.
125000	127000	Why did they grow so large?
127000	129000	Because insects don't have lungs.
129000	131000	They take in oxygen through their skin.
131000	134000	This isn't very efficient and limits their body size
134000	137000	according to the amount of oxygen in the atmosphere.
137000	140000	But Kent has to make all this fit the Bible.
140000	144000	A contortion that requires his new theory about the dinosaurs.
144000	149000	I have with me tonight an elk, Mrs Anne Elk.
149000	153000	You have a new theory about the Brontosaurus.
153000	157000	Now here's just a drawing of an 80 foot long Apatosaurus,
157000	159000	also known as a Brontosaurus.
159000	163000	And if you go to the Natural History Museum in London and look at the skeleton,
163000	168000	you'll find that the skeleton of an Apatosaurus or a Brontosaurus
168000	173000	has very, very small nostrils about the same size as a horse.
173000	177000	Wilkis, you may well ask me what is my theory?
179000	181000	I am asking.
181000	184000	Well, very simply, before the flood,
184000	188000	dinosaurs lived in a very, very high oxygen environment.
188000	192000	But after the flood, they were in terrible trouble
192000	195000	because their nostrils were simply not well adapted
195000	199000	for breathing in a low oxygen environment.
199000	201000	Now, I don't know if you've heard about in England,
