start	end	text
0	10000	As a scientist, I know that global warming doesn't really exist at all in any sense of significance.
10000	14000	Thanks for the reassurance, John. Only one problem.
14000	16000	Hello, you're not a scientist.
16000	20000	You got a degree in media studies and became a TV weatherman.
20000	25000	And while you claim to be a meteorologist, the American Meteorological Society disagrees.
25000	29000	You're not on the list of certified broadcast meteorologists.
29000	33000	In other words, TV weather personalities with degrees in meteorology.
33000	35000	And the biggest irony of the lot...
35000	41000	There are thousands who signed a petition, 19,000 on a petition against global warming.
41000	46000	Coleman keeps promoting a petition of scientists against anthropogenic climate change,
46000	50000	but his lack of a science degree means he isn't even qualified to sign it.
50000	54000	Lord Christopher Monckton, former science advisor to Prime Minister Margaret Thatcher.
54000	57000	Christopher Monckton has a degree in journalism.
57000	61000	So how did he become Margaret Thatcher's science advisor?
61000	65000	Answer? He didn't. He was her economic policy advisor.
65000	69000	We'll see more of Monckton and his ideas in a future video.
69000	72000	So if we're going to look at the consensus on climate change,
72000	77000	we should start by defining which group of people is supposed to be reaching that consensus.
77000	80000	Since Coleman and Monckton are so keen to pretend they're scientists,
80000	83000	they seem to think that that's the criterion.
83000	90000	And so do a lot of other people who cite this petition as evidence that there's no consensus on anthropogenic climate change.
90000	94000	After all, scientists are supposed to know all there is to know about every field of science.
94000	98000	Well, Brains, your phenomenal mind made all this possible.
98000	104000	In Thunderbirds, Brains was able to turn his hand at everything from the dubious aerodynamics of Thunderbird 2
104000	107000	to the hydrology of New York City.
107000	112000	Now, underground streams do exist, but they've never been considered a threat.
112000	118000	Brains may have been an expert in every aspect of science, but his arse was made of plastic.
118000	123000	Real life scientists aren't experts on everything, they have to specialise.
123000	127000	And the more they specialise, the greater their expertise.
127000	133000	A wood engineer knows a lot about wood engineering, but that doesn't mean he understands atmospheric physics.
133000	140000	So when Stephen C. Zilkowski, who is a wood engineer, signs his name to a petition telling us there's no evidence
140000	148000	that carbon dioxide causes catastrophic heating of the Earth, he's simply stating his belief based on whatever he's read.
148000	156000	We have no idea what that is, but it's certainly not this series of papers explaining the cause of catastrophic warming during the late Permian.
156000	163000	And why should Earl M. Argard, a professor of biology at Southern Adventist University, have read the paper either?
163000	173000	In between Argard and Zilkowski, the first and last names on the petition are an assortment of metallurgists, botanists, agronomists, organic chemists and so on
