start	end	text
0	4800	There have been a litany of complaints about the World Health Organisation in the popular
4800	10320	and social media, so in this video I'm going to fact check everything from the transmissibility
10320	16440	of the SARS-CoV-2 virus to the effectiveness of face masks. These are the most common complaints
16440	21280	laid out in blogs and newspapers and in a White House letter listing the reasons why
21280	27600	the United States was withdrawing itself and its funding from the WHO.
27600	33080	So let's start with the first complaint in the White House letter, that the WHO consistently
33080	40520	ignored credible reports of the virus spreading in Wuhan in early December 2019, or even earlier,
40520	43440	including reports from the Lancet Medical Journal.
43440	50040	Well, I couldn't find any reports of the virus in early December 2019 in the Lancet.
50040	54640	Even Richard Horton, the Lancet's editor-in-chief, says there's no such report.
55160	59920	Please let me correct the record, he tweeted, the Lancet did not publish any report in early
59920	66560	December 2019 about a virus spreading in Wuhan. Neither could I find any other reports of
66560	72740	a possible virus published in early December, and the letter doesn't cite any. So I turned
72740	78320	to a reputable source, the Congressional Research Service, to find out what reports the White
78320	82740	House is referring to. The CRS's role is to give information to
82780	90060	members of Congress on both sides of the aisle, so it has to be strictly factual and non-partisan.
90060	95660	But they couldn't find any reports prior to December 30th either. The CRS concluded that
95660	100940	the first publicly available reports of the outbreak were on a financial news website
100940	107380	called Yikai on December 31st, Beijing time. Yikai had learned about the outbreak from
107380	113340	this in-house notice sent to hospitals by the Wuhan Municipal Health Commission. The
113340	118900	Yikai report was picked up by several other Chinese websites, including Sina, and the
118900	124460	Sina report was picked up by the Programme for Monitoring Emerging Diseases, PROMED,
124460	130940	an open source platform in the USA. They translated it into English and posted it just three hours
130940	136620	after Yikai had broken the story. A few hours after that, the PROMED story was seen by the
136620	142660	WHO in Geneva. According to the CRS, the WHO contacted the
142660	148140	Chinese authorities the same day and asked for more details, in compliance with the international
148140	154060	health regulations that govern it. So the White House claim that the WHO ignored reports
154060	159460	in early December is false, and the claim that China's media highlighted a new virus
159460	166540	emerging in Wuhan between December 26th and December 30th is also false. The first publicly
166540	173100	available reports were media stories published on December 31st, Beijing time. If the White
173100	178540	House wants to insist that it does have knowledge of reports in early December, then these reports
178540	183300	are known only to the White House, and for some reason it failed to act on the information
183300	189740	at the time or pass it on, and it's unable to cite these reports today.
189740	191620	Let's hear the next claim from a couple of vloggers.
191620	206620	On December 31st, China notified the WHO that there was an issue. Taiwan did the same
206620	211460	thing on the same day with evidence of human-to-human transmission.
211460	215820	This seems to have originated with a claim from Taiwanese health officials, which were
215820	222520	widely reported. Health officials in Taipei say they alerted the WHO at the end of December
222520	227760	about the risk of human-to-human transmission of the new virus, but said its concerns were
227760	232540	not passed on to other countries. The Wall Street Journal took the Taiwanese at their
232540	238260	word. Taiwanese officials warned WHO on December 31st that they had seen evidence that the
238260	242660	virus could be transmitted human-to-human. And of course the claim was copied in the
242660	248960	list of reasons why the USA was withdrawing from the WHO. The WHO chose not to share any
248960	253040	of this critical information with the rest of the world.
253040	257420	But no-one thought to check the email from Taiwan to see if the internet chatter was
257420	264700	true. It's publicly available because Taiwan released a copy. Dated December 31st, it said,
264700	269660	news resources today indicate that at least seven atypical pneumonia cases were reported
269660	274460	in Wuhan China. Their health authorities replied to the media that the cases were
274460	279700	believed not SARS, however the samples are still under examination and cases have been
279700	284780	isolated for treatment. I would greatly appreciate it if you have relevant information to share
284780	290580	with us. So there was no warning of human-to-human transmission.
290580	296700	And where did Taiwan get its information? No, Taiwan explicitly said that its sources
296700	303500	were news resources published on December 31st and the response of the health authorities.
303500	308700	Those are exactly the same sources and the same information that the WHO had on the same
308700	314940	day. There was no critical information that wasn't already known. The email from Taiwan
314940	320860	was simply repeating what ProMed, the WHO and everyone else monitoring China had already
320860	325700	seen, including statements from the Chinese authorities saying that patients had been
325700	332060	put into isolation, which is a standard protocol for suspected infections. In a separate statement
332060	337520	about this timeline, the Taiwanese CDC made no mention of knowing about human-to-human
337520	344100	transmission in December or warning the WHO of human-to-human transmission. They say they
344100	348380	only thought they could be human-to-human transmission when they dispatched experts
348380	353700	to Wuhan in mid-January. By the way, this again dispels the claim that
353700	359220	the Chinese media were reporting a new virus in early December. Taiwan keeps a very close
359220	364820	track of Chinese media and yet, according to the Taiwanese government, it was only alerted
364820	371820	to reports about a possible virus at the same time as the WHO on December 31st. The first
371820	376980	public indication that they had been human-to-human transmission came on January 9th when the
376980	383460	WHO reported, according to Chinese authorities, the virus in question can cause severe illness
383460	388600	in some patients and does not transmit readily between people.
388600	393520	The information prompted the WHO to issue an immediate worldwide alert, saying the route
393520	398900	of transmission was unknown but suspected to be respiratory and that specimens should
398900	404300	be regarded as potentially infectious and that health authorities should assume that
