start	end	text
0	8720	In previous videos I've shown evidence of how the world around us was formed, but a
8720	11040	fundamental question remains.
11040	26200	How did we get here?
26200	29440	The void has always been filled by fanciful stories.
29440	34200	The Chinese believed a dragon goddess needed someone to talk to, so she formed humans out
34200	36320	of clay from a river bank.
36320	40920	According to Jewish mythology, a god made a man out of clay and then fashioned a woman
40920	42720	out of one of his ribs.
42720	47240	Inuit mythology describes a raven god who filled the earth with pea pods, and one of
47240	50760	these burst open to reveal the first man.
50760	56040	But 150 years ago one book shattered these myths and opened the door to a rational and
56040	59480	evidence-based understanding of our origins.
59480	64640	But while Charles Darwin and Alfred Wallace jointly came up with the idea of natural selection,
64640	69720	they parted company on whether this evolutionary mechanism could be applied to humans.
69720	74680	Wallace formulated the idea that animals had evolved, but he couldn't compromise his belief
74680	77280	that humans were the work of a deity.
77280	82960	But Darwin caved to the inevitable conclusion and called it My Little Heresy.
82960	88000	My Little Heresy was first expounded not by Darwin but by naturalist Thomas Huxley
88000	93040	in an 1863 book called Evidence as to Man's Place in Nature.
93040	97080	Huxley and his supporters had clear evidence of evolution in animals.
97080	102640	What they lacked was direct physical evidence to show that evolution also applied to humans.
102640	107320	The search was now on for what became known as the missing link, a fossil that was half
107320	109640	human, half ape.
109640	115080	We are, of course, all apes according to classification, but for the purpose of simplification, in
115080	120920	this video I'll refer to human apes as humans and our common ancestor with chimpanzees as
120920	122820	apes.
122820	127360	It didn't take long for this new branch of science to find its first piece of evidence.
127360	131600	Just three years before Darwin published The Origin of Species, the bones of what looked
131600	136720	like an oddly deformed human were unearthed in the Neander Valley in Germany.
136720	142200	Fossil man wasn't the missing link but it did seem to be one of our archaic ancestors.
142200	148520	In 1891 fossil bones from the first real archaic hominid, later called Homo erectus, were found
148520	154560	on Java Island and 32 years later another Homo erectus skull, Peking Man, was found
154560	155760	in China.
155760	158600	Neither of these fossils were the fabled missing link.
158600	163200	They were closer to humans than apes but they did spark the idea that modern humans may
163200	165640	have evolved in Asia.
165640	170680	Africa was also beginning to yield some valuable finds including the Taung Child, found in
170680	173260	South Africa in 1924.
