start	end	text
0	6080	What you do need to take into account here is that people base their lives on your projections
6080	11520	and it turned out that none of it was true. You painted a doomsday climate change scenario,
11520	15440	farmers, city planners, taxpayers, they believe, none of it was correct. So you can't just
15440	18640	admonish them now. You can't just look down your nose at them now and say, well, I can't,
18640	22000	why wouldn't you, why wouldn't you believe us, you silly bumpkin? Well, because of you.
22880	25760	I don't believe you. You lied last time. You don't believe science?
26640	31680	What's got Steven Crowder and his friends worked up is a projection about water levels in the
31680	37040	Great Lakes, just one of many forecasts related to the consequences of climate change.
37760	42080	You might be forgiven for thinking he's attacking researchers for getting their projections wrong.
42720	46240	In fact, he was citing this prediction by a politician.
46240	50400	What we're seeing in global warming is the evaporation of our Great Lakes.
51360	52800	It's a scary thing.
52800	54880	And this prediction from a news article.
55440	59200	And here we have an article from USA Today. I remember this article. I think it was in 2012,
59200	63840	2013. They said it would take decades of rain, decades of rain, heavy, heavy rain,
63840	68960	just to return to normal. OK, it took two years. Actually, the article didn't say anything of the
68960	74960	sort. I tracked it down where it talked about the restoration of lake levels. It wasn't quoting
74960	80640	a scientific study. It was quoting a retired hydrologist who said it would take years of
80640	87760	consistent rain to return Lake Michigan and Lake Huron to normal. So, no, not decades of rain.
88640	94080	But Crowder was spot on with his criticism of the politician. Now, Senator Durbin's right in
94080	99600	saying we get evaporation from the Great Lakes. And according to scientific research, that's been
99600	105840	increasing because of higher water temperatures and diminished ice cover. But he either didn't
105840	112160	know or didn't mention that this evaporation is offset by water coming in from the catchment area.
112160	117360	When you say levels will undeniably, undoubtedly continue to descend to record low levels due to
117360	122080	climate change and exclusively climate change, they have to plan their seasons for things like
122080	127200	more erosion, less underpass room for waterway bridges. They have to plan extensive dredging of
127200	130160	harbors. City engineering comes into play, not to mention the private businesses. They have to
130160	134800	adjust their business models based on your projections of shorefront. Crowder did say in
134800	140480	the video that he wasn't going to look at the science, but perhaps he should. Because business
140480	147120	managers, town planners and farmers don't base their lives or future plans on a claim by a senator.
147760	151840	They plan based on properly conducted peer-reviewed scientific research.
152640	159280	So what does the science say? Far from predicting scary evaporation, the 2007
159280	164160	International Upper Great Lakes study found that future lake levels would remain within the
164160	169840	historical range. The most recent long-term projections by the US Army Corps of Engineers,
169840	175440	which is responsible for monitoring the Great Lakes, only looks ahead five years. But their
175440	181200	conclusion was that during that time, water levels would vary more, but with an average higher than
181200	186880	the historical range. Where are we now? Lake Superior is already near record high levels.
186880	191280	By May could reach a record that was set in the mid 1980s. Lake Erie could reach record highs
191280	195840	later this spring. Lake Michigan and Huron also expected to be much higher, much, much higher
195840	202080	than historically normal levels. It only took a few years to get to significantly higher than
202080	206480	normal levels. And I remember this because I was in Michigan. Fair enough, Stephen, but why didn't
206480	212960	you tell your listeners that this is exactly what scientific studies had predicted? Anyway, this
212960	217920	video isn't about the Great Lakes or Stephen Crowder. It just so happened he released a video
218000	223200	rubbishing climate predictions at the same time I was researching this video about climate
223200	230000	predictions, so it made a very good point. People often misrepresent the science, but that's not an
230000	236480	exclusively left-wing or a right-wing phenomenon. It's done by politicians, op-ed writers, lobbyists
236480	242800	and bloggers on both sides of the political spectrum. But through all this misrepresentation
242800	248880	and political squabbling, an important fact has been overlooked. That scientific studies in this
248880	254160	field have a very good track record in getting their projections right, just as they did with
254160	260240	the Great Lakes. And if you're already gasping in disbelief at that, it probably means you've
260240	265920	been spending way too much time listening to bloggers and political pundits. The same goes
265920	271520	for this popular list of supposedly failed scientific conclusions from Fox News, copied
271520	277840	by this vlogger and many others. Here now are the top 10 global warming predictions
277840	284480	gotten wrong. Number 10 from the UK came this prediction. Within a few years, a scientist said,
284480	290400	children just aren't going to know what snow is. Snowfall will be very rare. That, according to
290400	298400	Dr David Vinner, senior research scientist at the Climate Research Unit, CRU, East Anglia.
298400	304400	Yes, and I've debunked this claim myself. It's not based on any scientific study. It comes from
304400	309840	a newspaper interview and it's nonsense. Of course, a lot of people will be saying,
309840	315280	but he's a scientist. Surely anything scientists say must be based on scientific research.
315840	320160	Well, if you've watched my channel, you'll know that scientists spout all sorts of crap when
320160	325760	they're not confined to the rigorous demands of scientific publishing. The reason we have
325840	331600	peer-reviewed scientific publishing is to ensure that conclusions are supported by evidence.
331600	336640	Calculations and analyses have to be done strictly according to the scientific method.
337200	342240	That's why, to use Steven Crowder's yardstick, planners, farmers and business people
342240	348320	base their lives and futures on properly published science, not random statements in newspapers and
348320	355520	on TV. Dr Viner didn't cite a study that supported his claim and the independent newspaper didn't ask
355520	361600	for one. But I did, and here's the lame response I got from the organisation Viner worked for.
362480	367040	In other words, the answer is no. There's no scientific study supporting his claim.
368160	373760	Bloggers have tried to cite other predictions of no more snow. Most, like Viner's, are completely
373760	380320	unsupported by scientific studies. But this one supposedly comes from the IPCC, and the allegation
380320	385280	that the prediction failed has been mindlessly copied by other bloggers who never bothered to
385280	391360	check it. Here's the statement from the IPCC report they quote. In the North America section,
391360	396960	bottom paragraph here, it says milder winter temperatures will decrease heavy snowstorms,
