start	end	text
0	19720	For a hundred thousand years, humans have looked up at the night sky and wondered about
19720	22160	those awesome points of light.
22160	23160	What are they?
23160	24300	What are they made of?
24300	26480	How did they get there?
26480	31100	They didn't have the technology to find out, so they guessed that magical beings had created
31100	32280	it all.
32280	37520	If you prefer making wild guesses instead of using observation, measurement and calculation,
37520	39480	then here's a sealed box.
39480	43440	Spend the next ten minutes guessing what's inside and come back again at the end of this
43440	44880	video.
44880	49720	Because this video doesn't cover what we guess about the universe, but what we know, and
49720	52440	more importantly, how we know it.
52440	61060	How do we know where the stars and galaxies came from and how old they are?
61060	64960	The first person to take a stab at gauging the scale of the world around him was the
64960	68340	Greek scientist Eratosthenes of Cyrene.
68340	73000	He knew that on the longest day of the year, the sun was directly overhead at Syene in
73000	77480	the south of Egypt, but cast a shadow in Alexandria to the north.
77480	82260	By measuring the length of the shadow, he could work out the Earth's diameter.
82260	87260	And while the Earth might be spherical, the dogma of a fixed Earth still held sway, backed
87260	89820	by a powerful church.
89820	94520	Problem was, this didn't fit the observable evidence, especially the observation that
94520	100760	some wandering stars, or planets in Greek, had very erratic orbits around the Earth.
100760	104980	When the telescope was invented, these planets turned out to be very different to the fixed
104980	106140	stars.
106140	111260	But it wasn't until Johannes Kepler calculated the exact orbits of the planets that a model
111260	114740	of the solar system at last fit the observations.
114740	122320	His law of planetary motion turned this into this.
122320	127660	In the 18th century, a transit of Venus across the sun, timed at opposite ends of the Earth,
127660	132540	made it possible to calculate the exact distance of the sun, and by extension the distances
132540	134600	of all the known planets.
134600	136980	But that still left the stars.
136980	141080	The easiest way to measure their distance is a system called triangulation, which is
141080	143940	used to measure distant objects on Earth.
143940	147820	With stars, the baseline is the Earth's orbit around the sun.
147820	154900	Take an angle measurement here, and six months later here, and just do the math.
154900	159460	This principle was known in the 17th century, that their instruments simply weren't accurate
159460	162380	enough to measure such a tiny angle.
162380	165740	But in 1838 the technology had caught up.
165740	171140	The Prussian astronomer Bessel found that the binary star 61 Cygni was an astounding
171140	173260	60 trillion miles away.
173260	177440	It was a distance so huge that it had to be measured in terms of the number of years it
177440	181820	took light to cross it, 10.3 light years.
181820	185740	Our universe just got bigger.
185740	190500	Triangulation only works for stars up to 100 light years away, but it was a start.
