start	end	text
0	5140	Typically you quarantine the sick. When someone has measles you quarantine them.
5140	8980	We've never seen where we quarantine the healthy.
8980	16180	Actually we have. The word quarantine itself comes from the practice of locking down healthy people for 40 days.
16180	21180	Quarantena, in old Italian, when ships arrived in Venice from areas of plague.
21180	26180	In the 17th century the villagers of Iam in England, most of them healthy,
26360	31360	locked themselves down when a few of their number caught bubonic plague.
31360	38360	If you don't recognise this guy, he's Dan Erickson, one of two doctors who held a press conference back in April.
38360	42360	They work for Accelerated Urgent Care in Bakersfield, California.
42360	45360	They specialise in common ailments like these.
45360	53360	And the reason for the press conference was to voice concern that their business was suffering because of Covid-19 restrictions.
53540	60540	This has caused some severe disruption for Accelerated as we have people coming in seven in the morning till midnight
60540	68540	or reporting to the health department or calling patients back and at the same time our volumes have dropped significantly.
68540	73540	Now I'm not unsympathetic to opinions that lockdowns may be doing more harm than good.
73540	80540	After all these doctors, like so many people running a business, have seen a sharp decline in income because of lockdowns.
80720	83720	They also have an adverse effect on mental health.
83720	91720	They increase domestic violence, economic hardship, infringe on civil liberty, raise unemployment and lower GDP.
91720	95720	So I don't mind listening to arguments for and against.
95720	104720	But I do mind when people try to support their case by misrepresenting scientific facts and figures and presenting bogus information.
104720	107720	And that's what's happening here.
107900	113900	They claimed that lockdown isn't necessary because they calculated, wrongly as it turns out,
113900	121900	that the infection fatality rate of Covid-19 is only 0.03%, a third that of flu.
121900	124900	That claim, of course, went viral.
124900	129900	So let's go through their calculation and just buzz in when you spot the mistake.
130080	133080	So if we look at California, these numbers are from yesterday.
133080	141080	We have 33,865 Covid cases out of a total of 280,900 total tested.
141080	145080	That's 12% of Californians were positive for Covid.
145080	148080	Good use of the buzzer.
148080	149080	And you're right.
149080	152080	It's not 12% of Californians who were Covid positive.
152080	155080	It's 12% of the people who got tested.
155260	159260	And they obviously aren't representative of the population as a whole.
159260	166260	Because before mass testing came in, people got tested because they had symptoms or were exposed to the virus
166260	169260	or thought they might have been exposed to the virus.
169260	175260	So there's going to be a much higher percentage of positive cases among those tested during the early weeks of the pandemic
175260	178260	compared to the general population.
178260	182260	It's like doing a survey of a waiting room at a Texas hospital
182440	186440	and then discovering that a third of the people waiting are critically ill.
186440	191440	You can't scale that up and assume that therefore a third of Texans must be critically ill.
191440	195440	So the more you test, the more positives you get.
195440	198440	But that's a classic case of mixing up measurements.
198440	202440	You get more positive cases but the percentage of positive cases
202440	206440	which is what the doctors are measuring for their calculation
206440	209440	doesn't go up, it goes down.
209620	213620	Even if the doctors don't understand the difference between a number and a percentage
213620	215620	which I find hard to believe
215620	218620	all they have to do is look at the data they claim to be using.
218620	222620	As testing expanded to the California population as a whole
222620	225620	shown by the light brown bars on this graph
225620	230620	the number of positive cases went up, shown by the darker brown at the bottom.
230620	234620	But the percentage of positive cases went down
234620	238620	shown by the blue line with the percentage scale on the right hand side.
238800	241800	A month after the doctors held their press conference
241800	243800	far more people were being tested
243800	249800	and of course the positivity rate was down from 12% to around 4.5%.
249800	253800	The doctors' analysis was so bad and so amateurish
253800	256800	that the American College of Emergency Physicians
256800	259800	and the American Academy of Emergency Medicine
259800	263800	took the extraordinary step of issuing a joint statement disowning it.
263980	267980	They called the doctors' claims reckless and untested musings.
269980	273980	I got interested in this topic when someone posted this on the forum
