start	end	text
0	4000	Climate change is a natural phenomenon that has always been, but always will be.
4000	8000	Climate does change. It always has, and it always will.
8000	13000	Yes, OK, the climate changes. In science that's what's called an observation,
13000	17000	just as we can observe lightning, shooting stars and earthquakes.
17000	22000	They're all natural. But the role of scientists isn't to sit back and marvel at all these natural mysteries.
22000	25000	It's to find out why they happen.
25000	29000	So what climatologists want to know is what causes the climate to change.
29000	33000	And after two centuries of research, they now have a pretty good idea.
33000	35000	Let's just recap.
35000	38000	Insulation is the amount of energy we get from the Sun.
38000	41000	It depends not only on the energy output of the Sun,
41000	46000	but on how the Earth is positioned to receive it, its tilt and orbit.
46000	50000	Greenhouse gases, things like water vapour, carbon dioxide and methane.
50000	55000	And thirdly, particulates and aerosols. They come from volcanoes and meteorite impacts.
55000	57000	They block sunlight and cool the Earth down,
57000	61000	and aerosols caused by industrial pollution do the same thing.
61000	65000	Finally, the Earth itself can amplify these changes through positive feedback,
65000	68000	and even the configuration of the continents.
68000	70000	And so we come to our first urban myth,
70000	74000	which happened to pop up in the comments forum of one of my climate videos.
74000	79000	The myth is that since temperatures were higher in the past with lower CO2,
79000	81000	and sometimes lower with higher CO2,
81000	84000	carbon dioxide can't be a factor in climate change.
84000	87000	Even Bob Carter has fallen for this one.
87000	90000	Here's a graph he produced, apparently showing no correlation
90000	93000	between carbon dioxide and global temperatures
93000	97000	over the Phanerozoic, the last 500 million years of the Earth's history.
97000	99000	But I'm pretty sure on this one, Bob,
99000	101000	because it's in all the scientific literature.
101000	103000	You wouldn't expect to get a match-up
103000	107000	because carbon dioxide isn't the only factor that affects global temperatures.
107000	111000	No climatologist ever said it was. Just read the journals.
112000	116000	On a geological time scale, the Sun is the other main driver of climate.
116000	118000	And as every geologist should know,
118000	121000	solar output was much weaker in the deep past.
121000	125000	The red line here shows solar output throughout the Earth's history.
125000	129000	What we're interested in is the last 500 million years.
129000	133000	Like most stars, the Sun has been growing increasingly brighter with time.
133000	136000	If I compared solar irradiance with global temperatures
136000	138000	over the last half billion years,
138000	142000	I'd get no better a correlation than Carter did with carbon dioxide.
142000	146000	But if we combine the two, solar irradiation and carbon dioxide,
146000	149000	then there's a very good correlation.
149000	151000	I'll come back to this later,
151000	155000	but why is the correlation so good if there are all these other factors?
155000	159000	Well, the Earth's tilt and orbit are predictable and run in cycles.
159000	162000	The effect of particulates is usually short-lived.
162000	165000	And the concentration of water vapour is controlled by temperature,
165000	169000	so it acts as an amplifier rather than a prime driver of climate.
169000	173000	Over the long term, carbon dioxide and solar output, or irradiance,
173000	175000	are the biggest variables.
175000	178000	Let me put this very simply with an analogy.
178000	180000	Let's say you're staying in a house in mid-winter
180000	184000	and all you have to heat it with is a fireplace and an electric heater.
184000	186000	If they're both full-on, you'll bake,
186000	189000	and if they're both turned down very low, you'll freeze.
189000	192000	The house could even get cold if the fire's going nicely,
192000	194000	but the heater's turned down very low.
194000	197000	So the Earth's climate depends on a combination of factors,
197000	199000	and it's actually quite lucky for us
199000	203000	that carbon dioxide levels have generally fallen over geological time
203000	206000	to balance the growing irradiance of the Sun.
206000	209000	Two researchers who are sceptical of the influence of CO2
209000	211000	have put forward an alternative idea
211000	215000	that the Earth cools as it passes through the spiral arms of our galaxy.
215000	220000	The idea is that cosmic rays ionise the air and that seeds clouds,
220000	224000	and clouds reflect sunlight, and that cools the Earth down.
224000	227000	Shivivam Veda's paper has been widely circulated
227000	231000	but not widely accepted within the scientific community.
231000	234000	No, not because of some conspiracy of evil scientists,
234000	237000	but because the idea that cosmic rays seed clouds
237000	240000	and that clouds cool the climate hasn't been shown.
240000	242000	I explained the background to this in my video
242000	244000	Climate Change the Objections.
