start	end	text
0	4000	Is a grand solar minimum coming? Yes.
4000	12000	Well that was easy, because that's what solar physicists have concluded through numerous published studies and years of research.
12000	14500	The question is, what does that mean?
14500	20000	The problem comes when the media hear the words grand and minimum and come to this conclusion.
20000	23500	Far from heating up, the Earth is actually heading for a new ice age.
23500	26000	We're heading into a mini ice age.
26000	30500	So in this video I'm going to answer these basic questions.
30500	35000	What is the grand solar minimum? How grand will it be?
35000	38000	What will be the effect on global temperatures?
38000	42500	And how or why did news reports and blogs get it so wrong?
42500	49500	As always, scientific studies are listed in the video description so you can check them for yourselves.
49500	52500	First, what is the grand solar minimum?
52500	56000	Well, solar irradiance follows three basic patterns.
56000	63500	The longest is a gradual increase in solar luminescence as more of the Sun's hydrogen fuel is fused into helium.
63500	69500	But we don't have to worry about that one, because the effect is only felt over hundreds of millions of years.
69500	75500	The shortest change is an 11 year cycle caused by changes in the Sun's magnetic field.
75500	82000	During the peaks we get flares and sunspots and the Sun gives off a tiny bit more radiation.
82000	86000	The swings look huge, but that's only because of the scale.
86000	91500	In fact, these swings only change solar activity by about 0.1%.
91500	97000	If we represent the variations as a line, the difference between the top and bottom of the line,
97000	103000	in other words the peaks and troughs of the cycle, is only about 1.3 watts per square metre.
103000	109500	Compare that to the Sun's total irradiance of around 1360 watts per square metre
109500	112500	and you can see how tiny these changes are.
112500	117000	So luckily for us, the Sun is a pretty stable star.
117000	123500	Finally, there are the irregular periods of time when several of these peaks are less active in succession.
123500	127500	It's known as a grand minimum not because it's particularly grand
127500	131500	– solar irradiance only falls by less than 0.3%
131500	137000	– but to differentiate it from the ordinary minimum of each 11 year cycle.
137000	141500	These ups and downs of peak solar activity happen at various times
141500	145500	and for varying periods of time with varying intensity.
145500	150000	Patterns have been sought, but none has been definitively found.
150000	153500	Solar activity has been dropping for the last two cycles
153500	157500	and solar physicists can see changes in the Sun's magnetic field
157500	162000	that suggest this marks the start of another grand solar minimum.
162000	167000	So the next thing we need to know is how minimum will the coming GSM be?
167000	170500	The simple answer is, researchers don't know.
170500	174000	So they look at past GSMs as a guide.
174000	177500	The studies that have been done found that total solar irradiance
177500	185500	for the previous four grand solar minima were between 0.08% and 0.25% lower.
185500	190500	The highest figure is for a scenario like the Maunder Minimum of the 17th century.
190500	197000	The term refers to a minimum solar activity named after astronomers Annie and Edward Maunder.
197000	202000	Unfortunately, a lot of people think the Maunder Minimum refers to minimum temperatures
202000	206500	and that's because it occurred in the middle of a cold period called the Little Ice Age.
206500	209500	So they assume it must be the cause.
209500	213000	In fact, the Maunder Minimum can't be the cause for the simple reason
213000	218000	that the Little Ice Age started 200 years before the Maunder Minimum began
218000	222500	and it continued for 100 years after the Maunder Minimum ended.
222500	227500	But what about those frost fairs in London when the Thames froze over?
227500	233000	Well the Thames froze over 23 times between 1408 and 1814.
233000	236500	Only nine of those times occurred during the Maunder Minimum
236500	239500	so that couldn't have been the primary cause.
239500	242500	In fact, the Thames continued to freeze over regularly
242500	246000	even when the Sun was as active as it is today.
246000	248500	The most likely cause, studies have found,
248500	253500	was a series of sulphur-rich volcanic eruptions which reflected sunlight.
253500	259500	But they concluded that when the Maunder Minimum happened between 1650 and 1720
259500	262000	it compounded this cooling.
262000	267000	And a GSM has a strong regional effect which we'll look at in a minute.
267000	269500	That would have exacerbated the cooling further
269500	274000	in places like Western Europe and the northeast part of North America.
274000	277500	So how much of a temperature drop will we see?
277500	281500	Researchers have calculated that even if solar irradiance fell
281500	283500	to the same level of the Maunder Minimum,
283500	289500	the resultant drop in global temperature would be less than 0.3°C.
289500	293500	That's much less than the warming we've seen already this century.
293500	296500	So even if nothing else was acting on global temperature
296500	300500	and even if solar activity dropped to the level of the Maunder Minimum
300500	305000	it would only take us back to the temperature of 2009.
305000	308500	Not a mini ice age or anything like it.
308500	313000	And researchers have calculated that even that small amount of cooling can't happen
313000	318000	because the forcing due to an increase in greenhouse gases over the next few decades
318000	323000	is much greater than the forcing due to a small drop in solar irradiance.
323000	325500	Even if the mathematics is hard to fathom,
325500	329000	the starkest evidence for that is the fact that we've already seen a drop
329000	332000	in solar irradiance over the last two cycles
332000	335500	and global temperatures didn't fall, they rose,
335500	341500	thanks to a 25% increase in CO2 concentration during that period.
341500	347000	And global temperatures are expected to rise another 2°C in the next few decades
347000	351500	as CO2 concentration doubles from pre-industrial revolution levels
351500	357000	far outweighing the 0.25°C expected from the GSM.
357000	359500	But as I mentioned several studies did find
359500	363000	that a reduction in TSI would have a regional effect.
363000	365500	It would reduce ultraviolet radiation
365500	369500	resulting in less ozone being produced in the upper atmosphere.
369500	372500	That will affect things like the North Atlantic Oscillation
372500	378500	and the Arctic Oscillation sending winter storms eastwards from Greenland into Europe.
378500	383000	There will be other regional changes but these still don't mean global cooling,
383000	388000	just variations in weather patterns in some places and at certain times,
388000	391000	and nowhere near enough to bring on a mini ice age
391000	394500	even in those places most severely affected.
394500	399500	Nearly all the scientific studies that have looked into the effects of a GSM
399500	404500	show no possibility of cooling, let alone a little ice age.
404500	407000	So where does this myth come from?
407000	411500	It's so persistent that posters on my channel are convinced it's true.
