start	end	text
0	4780	of Ognung Padang. I realise that this is an artist's rendition of what it would look like.
4780	8340	This is in Indonesia, tell me what this is. Yes, but it's based on the very solid science
8340	13340	and archaeological work. Why is there a 20,000 year old pyramids in
13340	16440	Indonesia? That's a very good question. The great pyramids
16440	24020	of Egypt are 4,500 years old. The Mayan pyramids are less than 2,000 years old. So how did
24020	30400	Graham Hancock manage to find a 20,000 year old pyramid in Indonesia?
30400	35160	In this video we'll find the answer to that, and you won't believe how he did it. Well,
35160	40000	maybe you will if you're familiar with Hancock's body of work. And please mirror this video
40000	45440	because it could very soon get blocked. If you're a Graham Hancock fan and you think
45440	50640	everyone else should open their minds enough to share his belief, here's a challenge.
50640	57100	Will you open your mind enough to watch this video and see what Hancock missed and fabricated
57100	62900	in his new Netflix series Ancient Apocalypse? Can't hurt, can it?
62900	68220	There used to be a popular programme in the UK called Time Team with actor Tony Robinson,
68220	74280	playing the non-scientist, reporting on various archaeological digs around Britain. In one
74280	80100	programme they were investigating a geophysical anomaly believed to be an old Roman villa.
80100	85760	But the bits of pottery and brick they dug up kept pointing to a medieval monastery instead.
85760	91860	That's not what we want to find, said a disappointed Tony. Professor Mick Aston, who
91860	98340	supervised the digs, had to patiently explain how archaeology works. What we want to find
98340	104080	as archaeologists, he said, is the answer to whatever was here. And if it was a medieval
104080	108640	monastery then we find what we find.
108640	113900	And that's the difference between a professional scientist and an enthusiastic amateur. When
113900	119860	it comes to answering questions about history, archaeologists want to find whatever is actually
119860	125820	there. Because each piece of evidence, each discovery, however dull or disappointing it
125820	131600	may be, fills in another piece of our jigsaw puzzle that starts to give a complete and
131600	135140	accurate history of our species.
135140	140840	The quest for lost civilisations has been a book and movie favourite for years. In the
140840	146640	1970s, Erich von Daniken promoted the idea that aliens had come to Earth to teach ancient
146640	152560	people how to build things. Once that fad had passed, Graham Hancock swiped von Daniken's
152560	158040	book titles and the aliens became emissaries from a lost civilisation, wiped out about
158040	163040	12,000 years ago. Who taught ancient people how to build things?
163040	167140	The last thing we want to believe, it seems, is that our ancestors were smart enough to
167140	172800	learn for themselves how to build these things over a long period of time. But if outside
172800	177980	help is always needed, I wonder how Hancock's imaginary civilisation figured it all out
177980	188220	on their own. And he's still searching because after 30 years of touring the world, Hancock
188220	195160	still hasn't discovered a single town, or a burial site, or a boat, no writing, not
195160	201400	even a garbage dump. Hancock's explanation is that this civilisation existed somewhere
201400	203160	he doesn't go, like…
203160	207560	One of them is the Amazon, another is the Sahara Desert, and then under the continental
207560	208560	shells.
208560	212920	And let's not forget buried under the ice of Antarctica, which he proposed in his book
212920	218460	– Fingerprints of the Gods. But the one thing we know about this imaginary civilisation
218460	224660	is that they were supposedly experts at building huge pyramids. But despite commercial and
224660	230540	private planes flying all over these remote places, plus the advent of Google Earth, no
230540	235860	one spotted a single one. Even Hancock hasn't bothered to spend some of the millions he
235860	242900	made selling books and TV programmes to hire a private plane and look for his lost civilisation.
242900	247520	The only place on Earth where we know for sure this pyramid-building civilisation did
247520	253680	exist is in Hancock's head, because he'll be the first one to tell you that this isn't
253680	260120	a fact, it's his belief. Which is fine. Where he comes into conflict with reality
260120	265840	is where he claims he's found mysteries that support his belief. Hancock's ideas
265840	271020	have been laid out in numerous books and TV shows, and now a Netflix series, thanks to
271020	275600	whoever posted the message alerting me to it. I had intended to go through the whole
275600	281080	series and see if I could spot any errors, but no kidding, by the time I got to the end
281080	288120	of just the first episode I found so many fabrications, omissions and misrepresentations
